,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Months_sels,City name,total_seals_per_months,sell Hour,sell Munites,Time Frequency,Grouped_products
991,177504,USB-C Charging Cable,1,11.95,2019-04-10 14:39:00,"19 Cedar St, Boston, MA 02215",4,  Boston (MA),11.95,14,39,1,"Google Phone,USB-C Charging Cable"
993,177506,iPhone,1,700.0,2019-04-02 07:46:00,"656 Pine St, Los Angeles, CA 90001",4,  Los Angeles (CA),700.0,7,46,1,"iPhone,Apple Airpods Headphones"
994,177506,Apple Airpods Headphones,1,150.0,2019-04-02 07:46:00,"656 Pine St, Los Angeles, CA 90001",4,  Los Angeles (CA),150.0,7,46,1,"iPhone,Apple Airpods Headphones"
999,177511,iPhone,1,700.0,2019-04-07 17:38:00,"719 North St, Los Angeles, CA 90001",4,  Los Angeles (CA),700.0,17,38,1,"iPhone,Lightning Charging Cable"
1000,177511,Lightning Charging Cable,1,14.95,2019-04-07 17:38:00,"719 North St, Los Angeles, CA 90001",4,  Los Angeles (CA),14.95,17,38,1,"iPhone,Lightning Charging Cable"
1058,177569,Wired Headphones,1,11.99,2019-04-27 10:31:00,"994 7th St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.99,10,31,1,"Wired Headphones,Google Phone"
1059,177569,Google Phone,1,600.0,2019-04-27 10:31:00,"994 7th St, Los Angeles, CA 90001",4,  Los Angeles (CA),600.0,10,31,1,"Wired Headphones,Google Phone"
1068,177578,Google Phone,1,600.0,2019-04-28 22:51:00,"752 Park St, Dallas, TX 75001",4,  Dallas (TX),600.0,22,51,1,"Google Phone,USB-C Charging Cable"
1069,177578,USB-C Charging Cable,1,11.95,2019-04-28 22:51:00,"752 Park St, Dallas, TX 75001",4,  Dallas (TX),11.95,22,51,1,"Google Phone,USB-C Charging Cable"
1073,177582,Bose SoundSport Headphones,1,99.99,2019-04-16 17:19:00,"707 9th St, Dallas, TX 75001",4,  Dallas (TX),99.99,17,19,1,"Bose SoundSport Headphones,Wired Headphones"
1074,177582,Wired Headphones,1,11.99,2019-04-16 17:19:00,"707 9th St, Dallas, TX 75001",4,  Dallas (TX),11.99,17,19,1,"Bose SoundSport Headphones,Wired Headphones"
1084,177592,iPhone,1,700.0,2019-04-19 11:10:00,"448 Maple St, San Francisco, CA 94016",4,  San Francisco (CA),700.0,11,10,1,"iPhone,Lightning Charging Cable"
1085,177592,Lightning Charging Cable,2,14.95,2019-04-19 11:10:00,"448 Maple St, San Francisco, CA 94016",4,  San Francisco (CA),29.9,11,10,1,"iPhone,Lightning Charging Cable"
1131,177638,Apple Airpods Headphones,1,150.0,2019-04-04 12:44:00,"261 Center St, Portland, OR 97035",4,  Portland (OR),150.0,12,44,1,"Apple Airpods Headphones,Google Phone"
1132,177638,Google Phone,1,600.0,2019-04-04 12:44:00,"261 Center St, Portland, OR 97035",4,  Portland (OR),600.0,12,44,1,"Apple Airpods Headphones,Google Phone"
1175,177681,AAA Batteries (4-pack),1,2.99,2019-04-01 14:07:00,"259 7th St, Dallas, TX 75001",4,  Dallas (TX),2.99,14,7,1,"AAA Batteries (4-pack),Macbook Pro Laptop"
1176,177681,Macbook Pro Laptop,1,1700.0,2019-04-01 14:07:00,"259 7th St, Dallas, TX 75001",4,  Dallas (TX),1700.0,14,7,1,"AAA Batteries (4-pack),Macbook Pro Laptop"
1214,177719,Google Phone,1,600.0,2019-04-18 23:41:00,"533 Adams St, Los Angeles, CA 90001",4,  Los Angeles (CA),600.0,23,41,1,"Google Phone,USB-C Charging Cable"
1215,177719,USB-C Charging Cable,1,11.95,2019-04-18 23:41:00,"533 Adams St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.95,23,41,1,"Google Phone,USB-C Charging Cable"
1254,177758,USB-C Charging Cable,1,11.95,2019-04-01 19:21:00,"963 Center St, Boston, MA 02215",4,  Boston (MA),11.95,19,21,1,"USB-C Charging Cable,Lightning Charging Cable"
1255,177758,Lightning Charging Cable,1,14.95,2019-04-01 19:21:00,"963 Center St, Boston, MA 02215",4,  Boston (MA),14.95,19,21,1,"USB-C Charging Cable,Lightning Charging Cable"
1266,177769,iPhone,1,700.0,2019-04-14 22:54:00,"728 Church St, Atlanta, GA 30301",4,  Atlanta (GA),700.0,22,54,1,"iPhone,Lightning Charging Cable"
1267,177769,Lightning Charging Cable,1,14.95,2019-04-14 22:54:00,"728 Church St, Atlanta, GA 30301",4,  Atlanta (GA),14.95,22,54,1,"iPhone,Lightning Charging Cable"
1276,177778,iPhone,1,700.0,2019-05-01 00:48:00,"478 West St, Boston, MA 02215",5,  Boston (MA),700.0,0,48,1,"iPhone,Apple Airpods Headphones"
1277,177778,Apple Airpods Headphones,1,150.0,2019-05-01 00:48:00,"478 West St, Boston, MA 02215",5,  Boston (MA),150.0,0,48,1,"iPhone,Apple Airpods Headphones"
1281,177782,Lightning Charging Cable,2,14.95,2019-04-17 20:30:00,"29 5th St, San Francisco, CA 94016",4,  San Francisco (CA),29.9,20,30,1,"Lightning Charging Cable,27in 4K Gaming Monitor"
1282,177782,27in 4K Gaming Monitor,1,389.99,2019-04-17 20:30:00,"29 5th St, San Francisco, CA 94016",4,  San Francisco (CA),389.99,20,30,1,"Lightning Charging Cable,27in 4K Gaming Monitor"
1295,177795,Apple Airpods Headphones,1,150.0,2019-04-27 19:45:00,"740 14th St, Seattle, WA 98101",4,  Seattle (WA),150.0,19,45,1,"Apple Airpods Headphones,Apple Airpods Headphones"
1296,177795,Apple Airpods Headphones,1,150.0,2019-04-27 19:45:00,"740 14th St, Seattle, WA 98101",4,  Seattle (WA),150.0,19,45,1,"Apple Airpods Headphones,Apple Airpods Headphones"
1301,177800,Google Phone,1,600.0,2019-04-03 11:56:00,"880 9th St, Portland, ME 04101",4,  Portland (ME),600.0,11,56,1,"Google Phone,USB-C Charging Cable,Wired Headphones"
1302,177800,USB-C Charging Cable,1,11.95,2019-04-03 11:56:00,"880 9th St, Portland, ME 04101",4,  Portland (ME),11.95,11,56,1,"Google Phone,USB-C Charging Cable,Wired Headphones"
1303,177800,Wired Headphones,1,11.99,2019-04-03 11:56:00,"880 9th St, Portland, ME 04101",4,  Portland (ME),11.99,11,56,1,"Google Phone,USB-C Charging Cable,Wired Headphones"
1318,177815,Apple Airpods Headphones,1,150.0,2019-04-19 20:27:00,"124 5th St, Dallas, TX 75001",4,  Dallas (TX),150.0,20,27,1,"Apple Airpods Headphones,Lightning Charging Cable"
1319,177815,Lightning Charging Cable,1,14.95,2019-04-19 20:27:00,"124 5th St, Dallas, TX 75001",4,  Dallas (TX),14.95,20,27,1,"Apple Airpods Headphones,Lightning Charging Cable"
1365,177861,AA Batteries (4-pack),1,3.84,2019-04-23 06:32:00,"712 Washington St, Boston, MA 02215",4,  Boston (MA),3.84,6,32,1,"AA Batteries (4-pack),Apple Airpods Headphones"
1366,177861,Apple Airpods Headphones,1,150.0,2019-04-23 06:32:00,"712 Washington St, Boston, MA 02215",4,  Boston (MA),150.0,6,32,1,"AA Batteries (4-pack),Apple Airpods Headphones"
1379,177874,iPhone,1,700.0,2019-04-04 18:23:00,"334 Willow St, Boston, MA 02215",4,  Boston (MA),700.0,18,23,1,"iPhone,Apple Airpods Headphones"
1380,177874,Apple Airpods Headphones,1,150.0,2019-04-04 18:23:00,"334 Willow St, Boston, MA 02215",4,  Boston (MA),150.0,18,23,1,"iPhone,Apple Airpods Headphones"
1477,177971,iPhone,1,700.0,2019-04-30 08:05:00,"81 Lincoln St, San Francisco, CA 94016",4,  San Francisco (CA),700.0,8,5,1,"iPhone,Lightning Charging Cable"
1478,177971,Lightning Charging Cable,1,14.95,2019-04-30 08:05:00,"81 Lincoln St, San Francisco, CA 94016",4,  San Francisco (CA),14.95,8,5,1,"iPhone,Lightning Charging Cable"
1503,177996,iPhone,1,700.0,2019-04-07 17:20:00,"37 Jackson St, Atlanta, GA 30301",4,  Atlanta (GA),700.0,17,20,1,"iPhone,Lightning Charging Cable"
1504,177996,Lightning Charging Cable,1,14.95,2019-04-07 17:20:00,"37 Jackson St, Atlanta, GA 30301",4,  Atlanta (GA),14.95,17,20,1,"iPhone,Lightning Charging Cable"
1517,178009,34in Ultrawide Monitor,1,379.99,2019-04-10 16:01:00,"829 1st St, New York City, NY 10001",4,  New York City (NY),379.99,16,1,1,"34in Ultrawide Monitor,USB-C Charging Cable"
1518,178009,USB-C Charging Cable,1,11.95,2019-04-10 16:01:00,"829 1st St, New York City, NY 10001",4,  New York City (NY),11.95,16,1,1,"34in Ultrawide Monitor,USB-C Charging Cable"
1538,178029,iPhone,1,700.0,2019-04-06 21:15:00,"800 9th St, Los Angeles, CA 90001",4,  Los Angeles (CA),700.0,21,15,1,"iPhone,Apple Airpods Headphones"
1539,178029,Apple Airpods Headphones,1,150.0,2019-04-06 21:15:00,"800 9th St, Los Angeles, CA 90001",4,  Los Angeles (CA),150.0,21,15,1,"iPhone,Apple Airpods Headphones"
1616,178106,AAA Batteries (4-pack),1,2.99,2019-04-27 19:11:00,"995 Maple St, Seattle, WA 98101",4,  Seattle (WA),2.99,19,11,1,"AAA Batteries (4-pack),Wired Headphones"
1617,178106,Wired Headphones,1,11.99,2019-04-27 19:11:00,"995 Maple St, Seattle, WA 98101",4,  Seattle (WA),11.99,19,11,1,"AAA Batteries (4-pack),Wired Headphones"
1629,178118,iPhone,1,700.0,2019-04-27 11:48:00,"139 Dogwood St, Boston, MA 02215",4,  Boston (MA),700.0,11,48,1,"iPhone,AAA Batteries (4-pack)"
1630,178118,AAA Batteries (4-pack),1,2.99,2019-04-27 11:48:00,"139 Dogwood St, Boston, MA 02215",4,  Boston (MA),2.99,11,48,1,"iPhone,AAA Batteries (4-pack)"
1647,178135,Lightning Charging Cable,1,14.95,2019-04-13 22:31:00,"994 Center St, New York City, NY 10001",4,  New York City (NY),14.95,22,31,1,"Lightning Charging Cable,AA Batteries (4-pack)"
1648,178135,AA Batteries (4-pack),2,3.84,2019-04-13 22:31:00,"994 Center St, New York City, NY 10001",4,  New York City (NY),7.68,22,31,1,"Lightning Charging Cable,AA Batteries (4-pack)"
1650,178137,Lightning Charging Cable,1,14.95,2019-04-07 05:46:00,"679 Church St, Atlanta, GA 30301",4,  Atlanta (GA),14.95,5,46,1,"Lightning Charging Cable,AA Batteries (4-pack)"
1651,178137,AA Batteries (4-pack),2,3.84,2019-04-07 05:46:00,"679 Church St, Atlanta, GA 30301",4,  Atlanta (GA),7.68,5,46,1,"Lightning Charging Cable,AA Batteries (4-pack)"
1672,178158,Google Phone,1,600.0,2019-04-28 21:13:00,"197 Center St, San Francisco, CA 94016",4,  San Francisco (CA),600.0,21,13,1,"Google Phone,USB-C Charging Cable,Wired Headphones,USB-C Charging Cable"
